,URL_length,privacy_policy,contact_information,feedback_score,load_time,broken_links,new_tech,time_elapsed,content_similarity,update_size,update_frequency,number_of_changes,certificate_authority,SSL_encrption_strength,self_signed_certificate,digital_signature_validity,san_matches_domain,trusted_seal,certification_bey_validity,certification_not_expired,certification_revocation_status,label
0,19,1,1,2.0,3,5,1,46,0,1,2,94,1,1,1,1,1,1,1,1,1,0
1,31,0,0,0.0,1,0,0,1,0,0,3,88,0,0,0,0,0,0,0,0,0,1
2,34,1,1,6.0,1,1,1,2,0,1,6,79,1,1,1,1,1,1,1,1,1,0
3,23,1,1,8.0,1,1,1,46,0,1,1,56,1,1,1,1,1,1,1,1,1,0
4,54,0,0,2.0,1,9,0,2,0,0,6,135,0,0,0,0,0,0,0,0,0,1
5,44,0,0,1.0,0,9,0,6,0,0,7,298,0,0,0,0,0,0,0,0,0,1
6,26,1,1,3.0,1,1,1,16,0,1,2,79,1,1,1,1,1,1,1,1,1,0
7,27,0,0,2.0,1,9,0,5,0,0,8,147,0,0,0,0,0,0,0,0,0,1
8,47,1,1,12.9,5,5,1,12,0,1,7,345,1,1,1,1,1,1,1,1,1,0
9,18,1,1,5.0,0,0,1,4,0,1,1,89,1,1,1,1,1,1,1,1,1,0
10,30,1,1,11.0,1,1,1,0,0,1,1,105,1,1,1,1,1,1,1,1,1,0
11,40,0,0,2.0,1,9,0,1,0,0,5,179,0,0,0,0,0,0,0,0,0,1
12,59,1,1,11.0,1,0,1,798,0,1,1,82,1,1,1,1,1,1,1,1,1,0
13,19,1,1,2.0,2,1,1,5,0,1,1,71,1,1,1,1,1,1,1,1,1,0
14,14,1,1,2.0,4,1,1,230,0,1,3,756,1,1,1,1,1,1,1,1,1,0
15,40,0,0,2.0,1,9,0,6,0,0,7,298,0,0,0,0,0,0,0,0,0,1
16,59,1,1,7.0,2,0,1,6,0,1,1,345,1,1,1,1,1,1,1,1,1,0
17,15,1,1,9.0,1,0,1,16,0,1,1,66,1,1,1,1,1,1,1,1,1,0
18,29,0,0,3.0,4,7,0,6,0,0,6,111,0,0,0,0,0,0,0,0,0,1
19,28,0,0,3.0,2,7,0,1,0,0,5,624,0,0,0,0,0,0,0,0,0,1
20,26,1,1,8.0,1,0,1,80,0,1,2,93,1,1,1,1,1,1,1,1,1,0
21,67,1,1,5.0,1,2,1,254,0,1,1,198,1,1,1,1,1,1,1,1,1,0
22,36,0,0,3.0,3,6,0,3,0,0,5,136,0,0,0,0,0,0,0,0,0,1
23,54,1,1,5.0,2,9,1,32,0,1,4,198,1,1,1,1,1,1,1,1,1,0
24,78,1,1,10.0,0,4,1,287,0,1,1,54,1,1,1,1,1,1,1,1,1,0
25,40,1,1,9.0,1,5,1,2,0,1,9,88,1,1,1,1,1,1,1,1,1,0
26,51,0,0,1.0,1,7,0,2,0,0,9,756,0,0,0,0,0,0,0,0,0,1
27,19,1,1,5.0,0,1,1,333,0,1,1,12,1,1,1,1,1,1,1,1,1,0
28,22,0,0,3.0,2,9,0,5,0,0,8,147,0,0,0,0,0,0,0,0,0,1
29,50,0,0,0.0,0,7,0,3,0,0,7,268,0,0,0,0,0,0,0,0,0,1
30,36,1,1,5.0,1,2,1,50,0,1,2,99,1,1,1,1,1,1,1,1,1,0
31,20,1,1,12.0,2,0,1,6,0,1,4,132,1,1,1,1,1,1,1,1,1,0
32,27,0,0,0.0,1,8,0,6,0,0,5,357,0,0,0,0,0,0,0,0,0,1
33,40,0,0,4.0,1,6,0,2,0,0,9,132,0,0,0,0,0,0,0,0,0,1
34,25,1,1,8.0,4,1,1,6,0,1,4,132,1,1,1,1,1,1,1,1,1,0
35,70,1,1,8.0,1,1,1,46,0,1,1,56,1,1,1,1,1,1,1,1,1,0
36,34,1,1,5.0,1,2,1,49,0,1,1,66,1,1,1,1,1,1,1,1,1,0
37,44,0,0,1.0,2,6,0,2,0,0,6,189,0,0,0,0,0,0,0,0,0,1
38,56,0,0,4.0,1,6,0,4,0,0,4,357,0,0,0,0,0,0,0,0,0,1
39,28,1,1,7.0,0,1,1,32,0,1,3,35,1,1,1,1,1,1,1,1,1,0
40,76,1,1,5.0,1,0,1,46,0,1,1,13,1,1,1,1,1,1,1,1,1,0
