URL,URL_length,privacy_policy,contact_information,feedback_score,load_time,broken_links,new_tech,time_elapsed,content_similarity,update_size,update_frequency,number_of_changes,certificate_authority,SSL_encrption_strength,self_signed_certificate,digital_signature_validity,san_matches_domain,trusted_seal,certification_bey_validity,certification_not_expired,certification_revocation_status,label
https://www.google.com/,23,1,1,8,1.2,0,1,50,0.9,no,2,99,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://www.amazon.com/,24,1,1,11,1.5,1,1,90,0.9,no,2,89,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://www.microsoft.com/,28,1,1,7,1.3,0,1,270,0.93,no,1,75,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://www.phishingwebsite.com/,32,0,0,4,2.1,5,0,5,0.4,yes,3,101,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
https://www.hackingwebsite.com/,31,0,0,3,2,7,0,6,0.35,no,5,127,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
https://www.Yahoo.com/,22,1,1,9,1.6,0,1,70,0.8,no,1,88,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://www.Instagram.com/,26,1,1,10,1.2,1,1,120,0.96,no,1,76,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://www.Twitter.com/,24,1,1,12,1.4,1,1,190,0.94,no,1,94,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://www.wikipedia.com/,26,1,1,8,1.1,0,1,80,0.84,no,2,93,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://www.facebook.com/,25,1,1,15,1.6,1,1,100,0.91,no,2,99,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://www.bing.com/,21,1,1,7,1.3,1,1,250,0.89,no,1,78,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://www.wikihow.com/,24,1,1,11,1.3,0,1,60,0.9,no,2,87,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://www.geeksforgeeks.com/,30,1,1,10,1.6,0,1,170,0.9,no,1,97,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://www.w3schools.com/ ,26,1,1,9,1.2,1,0,230,0.92,no,1,96,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://rewards.xpz.my.id/,26,0,0,4,2.9,5,0,6,0.31,yes,4,156,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://dr-hoffrichter.de/index2.html,36,0,0,4,3.8,8,0,2,0.2,yes,5,198,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://netflix.phatpham.tech/,29,0,0,3,4.4,6,0,3,0.5,yes,3,164,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
https://storesteampowered.asia/,31,0,0,4,2.6,9,0,6,0.33,yes,6,105,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://www2.rakuten.co.jplogin.jvtttft.cn/,42,0,0,4,5.6,6,0,5,0.12,yes,4,174,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://pastehtml.com/view/bdzrvg8vq.html,40,0,0,3,2.2,5,0,2,0.45,yes,3,157,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://www.id-app7.net/identify-,32,0,0,2,2.9,7,0,5,0.35,yes,5,156,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://www.drpboxfile.com/boxNeW/hndYh.php,42,0,0,3,3.1,9,0,6,0.51,yes,4,198,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://www.adiaripapereria.com/wp-content/,42,0,0,3,3,5,0,4,0.43,yes,4,178,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://www.redirectalink.com/blog/wp-,36,0,0,3,3.4,6,0,3,0.22,yes,5,136,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://www.imposiblehabbo.blogspot.com/,39,0,0,4,3.8,8,0,4,0.31,yes,9,179,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://digilander.libero.it/Facelogin96/,40,0,0,2,4.1,5,0,5,0.44,yes,5,135,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://stsremodeling.com/piz9/index.html,40,0,0,3,4.6,7,0,6,0.48,yes,4,156,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://wwwmoedasgratis2011.blogspot.com/,41,0,0,4,3,7,0,4,0.37,yes,6,168,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
https://codecanyon.net/,23,1,1,8,1,1,1,46,0.78,no,1,56,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://medium.com/,19,1,1,8,0.9,2,1,34,0.91,no,1,44,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://www.marvel.com/,23,1,1,9,1.2,1,1,68,0.8,no,4,13,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://bdnews24.com/,21,1,1,11,1.7,3,1,254,0.77,no,3,79,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://www.icicibank.com/,26,1,1,7,1,2,1,49,0.99,no,1,66,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://www.olx.ro/,19,1,1,5,0.6,1,1,333,0.6,no,1,12,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://paytm.com/,19,1,1,5,0.9,2,1,46,0.78,no,1,71,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://genius.com/,19,1,1,9,1,2,1,12,0.92,no,1,94,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://stackoverflow.com/,26,1,1,7,1.5,1,1,79,0.69,no,1,66,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://www.hdfcbank.com/,25,1,1,10,1.23,1,1,624,0.7,no,1,31,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://hollywoodlife.com/,26,1,1,9,1.76,0,1,56,0.94,no,1,46,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://steamcommunity.com/,27,1,1,6,1,0,1,798,0.51,no,1,82,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://searchengineland.com/,28,1,1,11,1.4,1,1,914,0.71,no,4,57,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://cookpad.com/in?via=jp,29,1,1,11,1.98,1,1,55,0.82,no,3,51,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://indianexpress.com/,26,1,1,7,1.25,0,1,66,0.93,no,2,63,no,256-bit,no,valid,yes,yes,no,no,not revoked,0
https://livestream.com/,23,1,1,7,1.8,1,1,34,0.9,no,1,46,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://codepen.io/,19,1,1,15,1,0,1,94,0.8,no,1,55,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://lifehacker.com/,24,1,1,8,1,0,1,64,0.8,no,1,65,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://thenextweb.com/,22,1,1,10,0.8,1,1,61,0.9,no,4,23,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://www.cheezburger.com/,28,1,1,7,0.9,1,1,32,0.94,no,3,35,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://bestblackhatforum.com/,30,1,1,7,2,2,1,78,0.76,no,1,48,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://comicbook.com/,22,1,1,8,2.2,2,1,76,0.7,no,3,76,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://stackexchange.com/,26,1,1,12,1.5,2,1,84,0.85,no,1,14,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://bitbucket.org/,22,1,1,5,0.8,2,1,75,0.95,no,2,75,yes,256-bit,yes,valid,yes,yes,yes,yes,not revoked,0
https://techcrunch.com/,23,1,1,6,1.6,1,1,91,0.7,no,1,32,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://thenextweb.com/,23,1,1,6,1.67,0,1,76,0.9,no,1,16,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://web.tv/,15,1,1,9,1,0,1,16,0.7,no,1,66,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://fortune.com/,20,1,1,12,1,3,1,79,0.83,no,1,94,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://serverfault.com/,24,1,1,8,1,2,1,77,0.69,no,1,31,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://plarium.com/,20,1,1,8,2.01,1,1,100,0.31,no,1,55,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
canva.com,9,1,1,7,0.39,3,1,68,0.89,no,1,58,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://forms.office.com/Pages/DesignPageV2.aspx,45,1,1,5,1.13,1,1,339,0.9,no,1,79,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://sites.google.com/u/0/new?pli=1&authuser=0,49,1,1,11,1.17,4,1,579,0.79,no,3,82,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://thebankbandb.com.au,27,0,0,5,2.29,6,0,4,0.6,yes,5,345,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://cafecitoperez.ivanidzakovic.com/,40,0,0,1,3,6,0,2,0.42,yes,6,189,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://capminvestment.com/,27,0,0,0,2.89,2,0,6,0.5,yes,8,135,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://my-paypal-verification.com/,35,0,0,2,4,5,0,5,0.2,yes,4,167,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
https://www.heeressport.at/,27,0,0,2,3.37,3,0,3,0.23,yes,7,271,no,128-bit,no,invalid,no,no,no,no,revoked,1
http://powaywelding.com/cgi-sys/suspendedpage.cgi,45,0,0,6,3,4,0,4,0.34,yes,6,164,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://yourfreephoneapp.com/,29,0,0,3,4.42,7,0,6,0.5,yes,6,111,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://qrxhskj.cluster028.hosting.ovh.net,38,0,0,2,2,8,0,5,0.52,yes,5,254,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://bookedandboarding.com,23,0,0,1.7,2,7,0,6,0.21,yes,4,165,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://orgogenlabs.com,18,0,0,5,2.5,9,0,5,0.42,yes,8,187,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://lantikiradar.com,18,0,0,4,2.45,6,0,5,0.24,yes,7,224,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://gulhasal.com,16,0,0,4,3,9,0,2,0.21,yes,6,135,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://napavalleynanny.com,19,0,0,1,3.9,7,0,1,0.1,yes,5,624,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://tansus.co.uk,15,0,0,2.6,4,8,0,3,0.32,yes,4,135,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://storage.googleapis.com,29,0,0,3,4,8,0,4,0.24,yes,4,845,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://f37xs.app.link,21,0,0,4,4,7,0,5,0.14,yes,4,135,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://wavesetholdings.com,21,0,0,4.4,2.97,7,0,6,0.11,yes,6,247,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://dameidaijia.com,16,0,0,3,2.99,9,0,6,0.51,yes,7,298,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://docs.google.com,21,0,0,2.5,3,6,0,2,0.54,yes,9,132,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://illingcartworthsupplies.com,34,0,0,2.27,3.04,8,0,4,0.52,yes,4,111,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://wavesetholdings.com,21,0,0,1.78,5,9,0,1,0.32,yes,5,179,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://detes.sk,11,0,0,2.9,4.4,7,0,3,0.24,yes,7,268,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://kirkwoodbowlfoundation.org,28,0,0,2.6,2,9,0,1,0.42,yes,6,156,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://saliha.imlkwt.com,22,0,0,3,2,9,0,5,0.33,yes,8,147,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://vixas.atwebpages.com,27,0,0,3,4,9,0,5,0.14,yes,5,195,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://housefullfilms.com,22,0,0,3,4.2,8,0,6,0.43,yes,5,357,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://hentech.com.hk,19,0,0,4.6,5,7,0,2,0.34,yes,5,258,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://donslan.com,16,0,0,5,3.66,9,0,2,0.25,yes,6,654,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://vicariapastoralgdl.org,27,0,0,4.99,3.7,8,0,1,0.13,yes,7,852,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://greenowladvisers.com,24,0,0,2,3,6,0,4,0.41,yes,4,357,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://lyonpress.com.br,20,0,0,2,2,7,0,3,0.22,yes,4,222,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://martazancanaro.com,20,0,0,1.98,3,9,0,5,0.25,yes,5,444,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://lagelijundiai.com.br,24,0,0,1.67,3.9,6,0,2,0.26,yes,8,598,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://gooyatoronto.com,18,0,0,1.8,4,7,0,2,0.28,yes,9,756,no,128-bit,yes,invalid,no,no,yes,no,revoked,1
http://kaizenpak.com/2/https/,26,1,1,10,1.5,4,1,287,0.9,no,1,54,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
http://zaborkursk.ru/omo/,23,1,1,9,1.1,1,1,68,0.7,no,2,56,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
https://betasusorjinals.blogspot.com/,37,1,1,6.9,1.2,2,1,94,0.9,no,1,84,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
http://telegraf.com.ua,22,1,1,8,1.6,2,1,46,0.94,no,2,66,yes,256-bit,no,valid,yes,yes,no,yes,not revoked,0
